ROLE,OD_PRODUCT_CODE,OD_SUBPROD_CODE,OD_FUNCTION_CODE
ADMIN MAKER,ADMIN,ADMIN,LMTS02
ADMIN MAKER,ADMIN,ADMIN,LMTS03
ADMIN MAKER,ADMIN,ADMIN,LMTS04
ADMIN MAKER,ADMIN,ADMIN,REGENPWD
ADMIN MAKER,ADMIN,ADMIN,REOPNUSR
ADMIN MAKER,ADMIN,ADMIN,ROLE01
ADMIN MAKER,ADMIN,ADMIN,ROLE03
ADMIN MAKER,ADMIN,ADMIN,RULE01
ADMIN MAKER,ADMIN,ADMIN,RULE02
ADMIN MAKER,ADMIN,ADMIN,RULE03
ADMIN MAKER,ADMIN,ADMIN,RULE04
ADMIN MAKER,ADMIN,ADMIN,TXNARE
ADMIN MAKER,ADMIN,ADMIN,UGC001
ADMIN MAKER,ADMIN,ADMIN,UGC002
ADMIN MAKER,ADMIN,ADMIN,UGC003
ADMIN MAKER,ADMIN,ADMIN,UGC004
ADMIN MAKER,ADMIN,ADMIN,UGP001
ADMIN MAKER,ADMIN,ADMIN,UGP002
ADMIN MAKER,ADMIN,ADMIN,UGP003
ADMIN MAKER,ADMIN,ADMIN,UGP004
ADMIN MAKER,ADMIN,ADMIN,VSBLTY
ADMIN CHECKER,ADMIN,ADMIN,ACGRP1
ADMIN CHECKER,ADMIN,ADMIN,ACGRP5
ADMIN CHECKER,ADMIN,ADMIN,CLSUSER2
ADMIN CHECKER,ADMIN,ADMIN,COPREF1
ADMIN CHECKER,ADMIN,ADMIN,COPREF3
ADMIN CHECKER,ADMIN,ADMIN,CRTL01
ADMIN CHECKER,ADMIN,ADMIN,CRTL04
ADMIN CHECKER,ADMIN,ADMIN,CUC001
ADMIN CHECKER,ADMIN,ADMIN,CUC005
ADMIN CHECKER,ADMIN,ADMIN,CUPR04
ADMIN CHECKER,ADMIN,ADMIN,CUPR05
ADMIN CHECKER,ADMIN,ADMIN,DABUSR2
ADMIN CHECKER,ADMIN,ADMIN,ENBUSR2
ADMIN CHECKER,ADMIN,ADMIN,LMTS01
ADMIN CHECKER,ADMIN,ADMIN,LMTS05
ADMIN CHECKER,ADMIN,ADMIN,REGENPWD2
ADMIN CHECKER,ADMIN,ADMIN,REOPNUSR2
ADMIN CHECKER,ADMIN,ADMIN,ROLE01
ADMIN CHECKER,ADMIN,ADMIN,ROLE05
ADMIN CHECKER,ADMIN,ADMIN,RULE01
ADMIN CHECKER,ADMIN,ADMIN,RULE05
ADMIN CHECKER,ADMIN,ADMIN,TXNARE
ADMIN CHECKER,ADMIN,ADMIN,UGC001
ADMIN CHECKER,ADMIN,ADMIN,UGC005
ADMIN CHECKER,ADMIN,ADMIN,UGP001
ADMIN CHECKER,ADMIN,ADMIN,UGP005
ADMIN CHECKER,ADMIN,ADMIN,VSBLTY
